title,URL,Published date,keywords,KW,picture,group
韓柏檉教授抗癌心法！活用蔬果、橄欖油擺脫癌細胞,https://www.everydayhealth.com.tw//article/14704,2017-03-31, 養生保健 防癌自癒力 排毒 抗癌 蔬果 橄欖油,防癌自癒力 排毒 抗癌 蔬果 橄欖油,https://static.everydayhealth.com.tw/main/201703/33602688671_e9360033ee_b.jpg,13
重口味傷腎恐罹癌！頭痛、頻尿...5徵兆告訴你吃太鹹,https://www.everydayhealth.com.tw//article/13939,2016-12-30, 養生保健 高血壓 頻尿 水腫 手指 鹽,高血壓 頻尿 水腫 手指 鹽,https://farm1.staticflickr.com/483/31951723735_55e183dc6d_b.jpg,2
年輕20歲！健走訓練讓他膝蓋半月板奇蹟再生,https://www.everydayhealth.com.tw//article/8564,2018-08-13, 養生保健 膝蓋 退化性關節炎 關節 老人 衰老 走路 登階 散步 抗老,膝蓋 退化性關節炎 關節 老人 衰老 走路 登階 散步 抗老,https://c1.staticflickr.com/1/849/29022318417_c12bae30be_b.jpg,18
每天這樣蹲5次，改善漏尿腰痛還有減肥效果,https://www.everydayhealth.com.tw//article/14457,2017-04-06, 腰痠背痛 漏尿 抗老 臀部 運動 腰痛 減肥,漏尿 抗老 臀部 運動 腰痛 減肥,https://static.everydayhealth.com.tw/main/201702/32355488234_04aaef6970_b.jpg,18
助子宮收縮、促腸胃蠕動，產後躺著運動防便祕漏尿,https://www.everydayhealth.com.tw//article/14723,2017-04-07, 西醫醫學 產後 運動 子宮收縮 肌肉 骨盆,產後 運動 子宮收縮 肌肉 骨盆,https://c1.staticflickr.com/3/2854/33540334972_6e6cce0a9c_b.jpg,22
0到100歲都要保護髖關節！這樣走路到老都健步如飛,https://www.everydayhealth.com.tw//article/18819,2018-04-28, 關節疼痛 關節 髖關節 髖部 對抗老化 老化 抗老化保養祕訣,關節 髖關節 髖部 對抗老化 老化 抗老化保養祕訣,https://c1.staticflickr.com/1/912/26773518047_d38e81276f_b.jpg,12
教授最推薦的有氧運動！把握5重點輕鬆健走控血壓,https://www.everydayhealth.com.tw//article/19967,2018-09-17, 養生保健 降血壓 健走 運動 體脂肪 代謝,降血壓 健走 運動 體脂肪 代謝,https://c2.staticflickr.com/2/1849/43761954525_e19736984d_b.jpg,6
吃飯時滿頭汗、天氣不熱也爆汗，小心是糖尿病！,https://www.everydayhealth.com.tw//article/13457,2016-11-10, 養生保健 流汗 糖尿病 心臟病 更年期 焦慮,流汗 糖尿病 心臟病 更年期 焦慮,https://farm6.staticflickr.com/5337/30217119233_f58bee594b_b.jpg,1
糖尿病易引起眼部病變！防失明，血糖不要降太快,https://www.everydayhealth.com.tw//article/10910,2016-01-08, 養生保健 陳瑩山醫師 白內障 眼睛 糖尿病 血糖 青光眼,陳瑩山醫師 白內障 眼睛 糖尿病 血糖 青光眼,https://farm2.staticflickr.com/1480/23616995314_0942abbde2_b.jpg,25
香蕉、番茄汁防抽筋！5種運動前別碰的食物,https://www.everydayhealth.com.tw//article/12193,2016-05-25, 健康飲食 番茄 消化 辣 鉀 運動前吃什麼 香蕉,番茄 消化 辣 鉀 運動前吃什麼 香蕉,https://farm8.staticflickr.com/7749/27185961835_62efef5158_b.jpg,27
全身痠痛的15個壞習慣，腰酸背痛的成因就是他,https://www.everydayhealth.com.tw//article/5033,2016-06-11, 腰痠背痛 肌肉 坐姿 姿勢不良 睡姿 站姿 減重 肩頸痠痛,肌肉 坐姿 姿勢不良 睡姿 站姿 減重 肩頸痠痛,https://farm8.staticflickr.com/7725/17097522140_8c6101069b_b.jpg,12
40年來每天只睡三小時...癌末病患多活8年的抗癌心法,https://www.everydayhealth.com.tw//article/13994,2017-01-01, 其他身心健康 抗癌 睡眠 生活習慣 熬夜,抗癌 睡眠 生活習慣 熬夜,https://c1.staticflickr.com/1/424/31976014745_9c42cbc57a_b.jpg,13
水腫、脹痛不適...生理期別這樣吃，第6樣尤其大忌！,https://www.everydayhealth.com.tw//article/4012,2018-01-26, 健康飲食 經前症候群 經痛/生理痛 月經 脹氣 經前水腫,經前症候群 經痛/生理痛 月經 脹氣 經前水腫,https://c1.staticflickr.com/5/4770/24998542157_ae90b78ed0_b.jpg,9
健走增進胃機能！日本人都靠這8招滋補養胃,https://www.everydayhealth.com.tw//article/7852,2017-05-31, 健康飲食 生活 健胃 腸胃 便祕 睡眠 呼吸,生活 健胃 腸胃 便祕 睡眠 呼吸,https://static.everydayhealth.com.tw/main/201410/34767353881_b93cbf7da0_b.jpg,11
甩便秘、燃脂最強食療！洋蔥拌它2周有感,https://www.everydayhealth.com.tw//article/16049,2017-08-12, 健康飲食 洋蔥 優格 腸胃健康 瘦身 便祕,洋蔥 優格 腸胃健康 瘦身 便祕,https://static.everydayhealth.com.tw/main/201708/35649980353_8c6e8a1798_b.jpg,11
夏季疲勞嚴重恐致熱衰竭！3穴位重整自律神經,https://www.everydayhealth.com.tw//article/16053,2017-08-10, 穴道導引 疲勞 中暑 促進血液循環 穴道按摩,疲勞 中暑 促進血液循環 穴道按摩,https://static.everydayhealth.com.tw/main/201708/36439726135_43bf1ce04d_b.jpg,23
髖關節痛走路躺下超痛苦！日醫：膝蓋墊枕頭一覺到天亮,https://www.everydayhealth.com.tw//article/20083,2018-09-14, 關節疼痛 髖部 髖關節 關節炎 退化性關節炎 疼痛,髖部 髖關節 關節炎 退化性關節炎 疼痛,https://c2.staticflickr.com/2/1884/44603643912_98fd81a259_b.jpg,12
內耳水腫！30歲後，如何改善梅尼爾氏症引起的眩暈耳鳴？,https://www.everydayhealth.com.tw//article/21946,2019-06-13, 養生保健 梅尼爾氏症 淋巴 頭暈 暈眩 耳鳴,梅尼爾氏症 淋巴 頭暈 暈眩 耳鳴,https://live.staticflickr.com/65535/48048327591_bdfd46e05b_b.jpg,4
下班後慢跑更好睡？錯！睡眠專家：這時間前跑完最好,https://www.everydayhealth.com.tw//article/15039,2017-05-26, 養生保健 失眠 跑步 睡眠品質 運動,失眠 跑步 睡眠品質 運動,https://static.everydayhealth.com.tw/main/201704/34706701001_fc313b88f9_b.jpg,3
蔬菜湯營養滿分，攝取植化素改善糖尿病 、痛風,https://www.everydayhealth.com.tw//article/10689,2016-05-05, 健康飲食 免疫力 防癌 抗癌 洋蔥 南瓜 高麗菜,免疫力 防癌 抗癌 洋蔥 南瓜 高麗菜,https://farm1.staticflickr.com/725/22633978137_d1f7d58c15_b.jpg,13
止痛大穴！按按虎口1分鐘，緩解疼痛,https://www.everydayhealth.com.tw//article/5571,2014-11-04, 穴道導引 月經 茶 穴道 穴道按摩 按摩 經前症候群 減重,月經 茶 穴道 穴道按摩 按摩 經前症候群 減重,https://farm6.staticflickr.com/5580/15141073517_2c1cdbf4e1_b.jpg,5
預防子宮肌腺症！婦科名醫教你正確保養子宮,https://www.everydayhealth.com.tw//article/17352,2018-03-07, 西醫醫學 子宮肌腺瘤 子宮肌瘤 子宮 月經 經痛 婦產科,子宮肌腺瘤 子宮肌瘤 子宮 月經 經痛 婦產科,https://c1.staticflickr.com/5/4789/26777835208_3678f72d4f_b.jpg,9
日本名醫推薦早餐吃舞菇，穩血糖一整天！,https://www.everydayhealth.com.tw//article/19956,2018-09-11, 健康飲食 菇類 舞菇 味噌 味噌湯 血糖 降血糖 高血糖,菇類 舞菇 味噌 味噌湯 血糖 降血糖 高血糖,https://c2.staticflickr.com/2/1863/43680350285_18b76799a6_b.jpg,25
長壽的人都愛水果！抗老名醫最推薦蘋果連皮吃,https://www.everydayhealth.com.tw//article/19991,2018-09-11, 健康飲食 失智症 蘋果 抗老 對抗老化 老化 防癌抗氧化食材,失智症 蘋果 抗老 對抗老化 老化 防癌抗氧化食材,https://c2.staticflickr.com/2/1886/43871326124_7c906d25c6_b.jpg,18
淋巴排毒預防感冒又抗癌！一呼吸法活化80％淋巴細胞,https://www.everydayhealth.com.tw//article/19949,2018-09-11, 養生保健 淋巴 促進血液循環 血液循環 免疫力 免疫系統,淋巴 促進血液循環 血液循環 免疫力 免疫系統,https://c2.staticflickr.com/2/1852/44539839292_c314678d8e_b.jpg,23
前彎摸不到腳趾？當心老後行動不便，快練這3招,https://www.everydayhealth.com.tw//article/1898,2018-09-11, 對抗老化 老化 腰痠背痛 規律運動 減重,老化 腰痠背痛 規律運動 減重,https://c2.staticflickr.com/2/1842/29590811767_4d9a3f0a88_b.jpg,1
突然起身會頭暈！補充維生素B、糙米改善低血壓,https://www.everydayhealth.com.tw//article/10955,2016-03-14, 健康飲食 低血壓 慢性疲勞 頭暈 暈眩 維生素B群,低血壓 慢性疲勞 頭暈 暈眩 維生素B群,https://farm1.staticflickr.com/766/23879748455_b644d6a4b4_b.jpg,4
壓力讓胃食道逆流惡化！3穴道按摩緩解火燒心,https://www.everydayhealth.com.tw//article/9935,2015-07-28, 穴道導引 壓力 放鬆 穴道按摩 胃食道逆流,壓力 放鬆 穴道按摩 胃食道逆流,https://farm1.staticflickr.com/488/20079234261_93e2c07c66_b.jpg,5
肥胖讓全身慢性發炎！減20％腸癌、瘜肉就該這樣做,https://www.everydayhealth.com.tw//article/14301,2019-04-12, 西醫醫學 肥胖 疾病 大腸癌 脂肪 發炎 慢性發炎,肥胖 疾病 大腸癌 脂肪 發炎 慢性發炎,https://farm3.staticflickr.com/2532/32682274940_7d33f8ed69_b.jpg,27
加速老化、造成三高！你不可不知的「糖化」危害,https://www.everydayhealth.com.tw//article/4833,2018-08-30, 對抗老化 糖化 AGEs 阿茲海默症 抗老 老化,糖化 AGEs 阿茲海默症 抗老 老化,https://c2.staticflickr.com/2/1890/43623515844_26a56e16ee_b.jpg,18
鼻炎頭痛按這穴道20秒緩解，還能消浮腫、防失智,https://www.everydayhealth.com.tw//article/18914,2018-05-05, 穴道導引 穴道按摩 眼睛健康 眼睛疲勞 預防失智 大腦,穴道按摩 眼睛健康 眼睛疲勞 預防失智 大腦,https://c1.staticflickr.com/1/966/41795696661_9e99fa45fe_b.jpg,5
改善動脈硬化，營養師推抗氧化的植化素＋EPA,https://www.everydayhealth.com.tw//article/19751,2018-09-08, 養生保健 動脈硬化 心血管 抗氧化,動脈硬化 心血管 抗氧化,https://c2.staticflickr.com/2/1870/29528980527_20dae93f5e_b.jpg,2
夏天就喝它！生薑果醋蜂蜜水，幫你排毒瘦身消疲勞,https://www.everydayhealth.com.tw//article/12263,2016-06-01, 健康飲食 排毒 生薑 瘦身 蜂蜜 醋,排毒 生薑 瘦身 蜂蜜 醋,https://farm8.staticflickr.com/7446/27309831486_7d5e38c53a_b.jpg,19
便祕老是大不出來？醫師6秘招讓便祕全消,https://www.everydayhealth.com.tw//article/19944,2018-09-04, 養生保健 排腸毒，不失智！不罹癌！ 便祕 食療 咖啡 香蕉 蘋果,排腸毒，不失智！不罹癌！ 便祕 食療 咖啡 香蕉 蘋果,https://c2.staticflickr.com/2/1877/44360412011_a7f1c0cec8_b.jpg,0
只需一條橡皮筋！10分鐘改善耳鳴、肩頸痛還能瘦臉,https://www.everydayhealth.com.tw//article/18162,2018-02-13, 養生保健 淋巴 血液循環 頭痛 美容 按摩,淋巴 血液循環 頭痛 美容 按摩,https://c1.staticflickr.com/5/4661/40217463131_9afa0aace6_b.jpg,10
吞雌激素止經痛竟罹子宮內膜癌！醫：這類經痛別亂補,https://www.everydayhealth.com.tw//article/20035,2018-09-06, 保健新聞 雌激素 女性荷爾蒙 經痛 更年期 子宮內膜癌 蜂王乳,雌激素 女性荷爾蒙 經痛 更年期 子宮內膜癌 蜂王乳,https://c2.staticflickr.com/2/1891/43768343364_48a25eb129_b.jpg,9
別被咖啡因制約！7種不喝咖啡也能提神的方式,https://www.everydayhealth.com.tw//article/11518,2016-03-10, 健康飲食 咖啡 咖啡因 喝水 提神 檸檬水 紅茶 綠茶 蘋果 運動 香蕉,咖啡 咖啡因 喝水 提神 檸檬水 紅茶 綠茶 蘋果 運動 香蕉,https://farm2.staticflickr.com/1538/25236940099_1ae3811dcc_b.jpg,17
所有疲勞全部消除！只要每天拉拉耳朵1分鐘就行,https://www.everydayhealth.com.tw//article/2054,2016-04-17, 養生保健 減重 消除疲勞 運動 紓壓 耳朵,減重 消除疲勞 運動 紓壓 耳朵,https://farm2.staticflickr.com/1582/26438233655_a016b48aaa_b.jpg,24
一夜好眠！抱枕＋2種睡姿，就能改善腰痛、打呼,https://www.everydayhealth.com.tw//article/9991,2015-09-11, 失眠問題 彎腰 打呼 枕頭 睡姿 睡眠 睡眠品質 腰痛 腰痠背痛,彎腰 打呼 枕頭 睡姿 睡眠 睡眠品質 腰痛 腰痠背痛,https://farm6.staticflickr.com/5675/20691066093_5f219ccb8c_b.jpg,3
睡不好有分3類型！醫師專家推薦3食物拯救失眠,https://www.everydayhealth.com.tw//article/12807,2018-08-25, 失眠問題 失眠 睡眠 睡眠品質 壓力 睡眠障礙,失眠 睡眠 睡眠品質 壓力 睡眠障礙,https://farm9.staticflickr.com/8697/28711235255_b0f7289638_b.jpg,3
溫開水、乾生薑，日醫師這樣擺脫30年頭痛,https://www.everydayhealth.com.tw//article/12555,2016-07-12, 頭痛/偏頭痛 偏頭痛 喝水 生薑 血管 頭痛,偏頭痛 喝水 生薑 血管 頭痛,https://farm9.staticflickr.com/8610/28232904805_76e536c244_b.jpg,10
每天只花1分鐘！神奇肩頸操，改善手腕、肩膀痠麻,https://www.everydayhealth.com.tw//article/11978,2018-09-02, 肩頸痠痛 肌肉 伸展操 肩胛骨 伸展 肌力訓練,肌肉 伸展操 肩胛骨 伸展 肌力訓練,https://farm2.staticflickr.com/1512/26047996473_cdcefbfc6e_b.jpg,14
全球死因18％因高血壓奪命！每天2顆奇異果降血壓勝蘋果,https://www.everydayhealth.com.tw//article/22032,2019-07-23, 健康飲食 奇異果 高血壓 降血壓 高血壓/糖尿病飲食 水果 葉黃素,奇異果 高血壓 降血壓 高血壓/糖尿病飲食 水果 葉黃素,https://live.staticflickr.com/65535/48345516171_c726ee2d2e_b.jpg,2
糖尿病怎麼吃？金針菇、洋蔥...降血糖4大明星蔬菜,https://www.everydayhealth.com.tw//article/9747,2015-07-15, 健康飲食 糖尿病 南瓜 洋蔥 金針菇 花椰菜 心血管 高血壓,糖尿病 南瓜 洋蔥 金針菇 花椰菜 心血管 高血壓,https://farm1.staticflickr.com/498/19520487569_329769acc2_b.jpg,2
常覺得腰腿刺麻走不動？1招自療坐骨神經痛,https://www.everydayhealth.com.tw//article/11797,2016-07-27, 坐骨神經痛 久坐 伸展 筋骨痠痛 腰痛,久坐 伸展 筋骨痠痛 腰痛,https://farm9.staticflickr.com/8076/28556299115_947430f804_b.jpg,12
他用這招治癒自律神經失調！躺著轉身就能趕走疲勞,https://www.everydayhealth.com.tw//article/15381,2017-06-28, 養生保健 消除疲勞 腰痛 胸椎 腎臟 肝臟 肩頸痠痛,消除疲勞 腰痛 胸椎 腎臟 肝臟 肩頸痠痛,https://static.everydayhealth.com.tw/main/201706/34474259574_bee0b4b6fa_b.jpg,7
苦瓜去苦味妙招！連營養專家也讚：營養全保留了,https://www.everydayhealth.com.tw//article/19925,2018-08-30, 健康飲食 苦瓜 降血糖 高血糖 降血壓 高血壓 高血壓/糖尿病飲食,苦瓜 降血糖 高血糖 降血壓 高血壓 高血壓/糖尿病飲食,https://c2.staticflickr.com/2/1883/43623516254_cbc50d25fa_b.jpg,25
排腸毒，不失智！不罹癌！不只大腸癌，乳癌、脂肪肝、糖尿病的危險因子都在腸道中,https://www.everydayhealth.com.tw//article/19985,2018-08-30, 養生保健 排腸毒，不失智！不罹癌！ 乳癌 腸道 肝臟,排腸毒，不失智！不罹癌！ 乳癌 腸道 肝臟,https://c2.staticflickr.com/2/1894/30488266408_40c7fa621e_b.jpg,7
哪種睡姿對身體最好？這樣睡竟能促淋巴循環排廢物,https://www.everydayhealth.com.tw//article/11294,2016-03-21, 養生保健 消化 胃食道逆流 睡姿 助消化 淋巴 睡眠呼吸中止症 趴睡 睡眠,消化 胃食道逆流 睡姿 助消化 淋巴 睡眠呼吸中止症 趴睡 睡眠,https://c2.staticflickr.com/2/1548/25849714146_99a40376c6_b.jpg,27
103歲人瑞竟保有20歲腸道健康！第6點太有道理了,https://www.everydayhealth.com.tw//article/12323,2016-06-05, 對抗老化 老化 老年 長壽 養生 抗老,老化 老年 長壽 養生 抗老,https://farm8.staticflickr.com/7425/26802620733_3189e4c33e_b.jpg,18
健骨控血糖！豆漿這樣喝，大豆異黃酮吸收率更好,https://www.everydayhealth.com.tw//article/21548,2019-04-25, 健康飲食 豆漿 大豆異黃酮 大豆 豆類 蛋白質 飲食,豆漿 大豆異黃酮 大豆 豆類 蛋白質 飲食,https://live.staticflickr.com/65535/40718806033_391b5e07ca_b.jpg,0
每天按摩肚子10分鐘，緩解子宮內膜異位症、經痛,https://www.everydayhealth.com.tw//article/5426,2014-10-21, 經痛/生理痛 經痛 按摩 生理期 減重,經痛 按摩 生理期 減重,https://farm6.staticflickr.com/5612/15590629572_fb57222a14_b.jpg,9
更年期飲食菜單：鈣質、大豆異黃酮聰明吃輕鬆補,https://www.everydayhealth.com.tw//article/19749,2018-08-29, 養生保健 更年期 骨質疏鬆 鈣 大豆異黃酮,更年期 骨質疏鬆 鈣 大豆異黃酮,https://c2.staticflickr.com/2/1895/30452649678_b3d8b54b11_b.jpg,16
博士教你解決99％疾病！喝水啟動長壽基因,https://www.everydayhealth.com.tw//article/5378,2018-08-28, 對抗老化 喝水 多喝水 運動 運動飲料,喝水 多喝水 運動 運動飲料,https://c2.staticflickr.com/2/1882/30430873988_4a0c1d419b_b.jpg,17
味覺生鏽了？少碰它遠甩肥胖三高,https://www.everydayhealth.com.tw//article/3790,2018-08-26, 養生保健 肥胖 高血壓 糖尿病 減重,肥胖 高血壓 糖尿病 減重,https://c2.staticflickr.com/2/1814/43327616885_2103e80983_b.jpg,25
子宮好，人不老！最終極的荷爾蒙平衡健康飲品是它,https://www.everydayhealth.com.tw//article/12866,2016-08-09, 健康飲食 子宮內膜異位 子宮肌瘤 檸檬水 牛奶 荷爾蒙 薑黃,子宮內膜異位 子宮肌瘤 檸檬水 牛奶 荷爾蒙 薑黃,https://farm9.staticflickr.com/8042/28809899656_9a551757c8_b.jpg,0
「自然醒」能不能還完睡眠債？,https://www.everydayhealth.com.tw//article/581,2013-06-22, 失眠問題 睡眠 睡眠品質 自然醒 減重,睡眠 睡眠品質 自然醒 減重,https://c2.staticflickr.com/2/1801/42641135464_4a75e7dc0e_b.jpg,3
異位性皮膚炎是胃腸不好引起！對症喝中藥湯可改善,https://www.everydayhealth.com.tw//article/10055,2015-09-02, 健康飲食 中藥 壓力 消化 濕疹 異位性皮膚炎 皮膚 皮膚乾燥 腸胃 貧血 腎臟,中藥 壓力 消化 濕疹 異位性皮膚炎 皮膚 皮膚乾燥 腸胃 貧血 腎臟,https://farm6.staticflickr.com/5627/21065757532_d60f1b9192_b.jpg,27
1分鐘鬆展腰腿臀，腰痛好了、水腫也消了！,https://www.everydayhealth.com.tw//article/19787,2018-08-21, 腰痠背痛 腰痛 代謝力 新陳代謝 消水腫 促進血液循環,腰痛 代謝力 新陳代謝 消水腫 促進血液循環,https://c2.staticflickr.com/2/1898/44150508621_0857fa0308_b.jpg,23
4大黃金排毒食材！黑木耳富含纖維、地瓜葉促糖代謝,https://www.everydayhealth.com.tw//article/9807,2015-07-14, 健康飲食 代謝 地瓜葉 排毒 木耳 消脂 牛蒡 香菇 黑木耳 腸胃蠕動,代謝 地瓜葉 排毒 木耳 消脂 牛蒡 香菇 黑木耳 腸胃蠕動,https://farm1.staticflickr.com/255/19677119535_1881b8ee04_b.jpg,27
脹氣、腹痛原來是因為...！掌握8關鍵問題一次解決,https://www.everydayhealth.com.tw//article/9822,2015-07-13, 健康飲食 大腸 燕麥 生薑 米 紅茶 脂肪 脹氣 膽固醇 蔬菜 薄荷 便祕,大腸 燕麥 生薑 米 紅茶 脂肪 脹氣 膽固醇 蔬菜 薄荷 便祕,https://farm1.staticflickr.com/343/19645014812_b7f5000efb_b.jpg,20
中醫治便祕，從便便看4種便祕體質解方大不同！,https://www.everydayhealth.com.tw//article/1631,2018-09-19, 養生保健 中醫 便祕 排便不順暢 減重,中醫 便祕 排便不順暢 減重,https://c2.staticflickr.com/2/1847/44038142434_568d8f163b_b.jpg,11
代謝廢物就是「濕氣」！把握夏季除體濕就能不生病,https://www.everydayhealth.com.tw//article/15206,2017-06-01, 濕氣體質 除體濕，就能斷病根 濕氣 慢性病 高血壓 高血脂 肥胖 脂肪肝 心血管,除體濕，就能斷病根 濕氣 慢性病 高血壓 高血脂 肥胖 脂肪肝 心血管,https://static.everydayhealth.com.tw/main/201705/34162680064_c128e3b070_b.jpg,20
重啟身體排濕機能！運動注意1件事，有效發汗排濕氣,https://www.everydayhealth.com.tw//article/15209,2017-06-05, 濕氣體質 除體濕，就能斷病根 伸展操 痠痛 基礎代謝 中醫 消腫 濕疹 運動,除體濕，就能斷病根 伸展操 痠痛 基礎代謝 中醫 消腫 濕疹 運動,https://static.everydayhealth.com.tw/main/201705/34162679774_ab6f2e3423_b.jpg,6
耳鳴會耳中風？鳴久必聾？名醫正確對待耳鳴的7觀念,https://www.everydayhealth.com.tw//article/11887,2017-10-24, 西醫醫學 耳朵 迷思 聽力 耳鳴 維生素B群,耳朵 迷思 聽力 耳鳴 維生素B群,https://c1.staticflickr.com/5/4448/37840972302_25bd469dd6_b.jpg,4
身體太濕三高找上門！晨起一杯水+3食材，幫助體內大除濕,https://www.everydayhealth.com.tw//article/8562,2015-02-25, 濕氣體質 腸胃健康 濕氣 除濕 健胃 拉肚子 消化 排便 薏仁 按摩 腸胃,腸胃健康 濕氣 除濕 健胃 拉肚子 消化 排便 薏仁 按摩 腸胃,https://farm8.staticflickr.com/7773/18145691782_9814dd37ed_b.jpg,11
抖腳3分鐘=健走20分鐘效果！坐著就能讓血管柔軟,https://www.everydayhealth.com.tw//article/13938,2017-01-03, 養生保健 久坐 血管 抖腳 健走 糖尿病 動脈硬化,久坐 血管 抖腳 健走 糖尿病 動脈硬化,https://farm1.staticflickr.com/614/31164102653_a80050fae9_b.jpg,2
檸檬汁＋這個竟可沖洗肝毒！王明勇的6日養肝法大公開,https://www.everydayhealth.com.tw//article/14708,2017-04-04, 健康飲食 防癌自癒力 王明勇 護肝 排毒 飲食 檸檬汁 蔬果汁,防癌自癒力 王明勇 護肝 排毒 飲食 檸檬汁 蔬果汁,https://static.everydayhealth.com.tw/main/201703/33690904446_aaaaf2a8ee_b.jpg,7
壞「痧」是百病之源！自己刮也能改善頭痛神經衰弱,https://www.everydayhealth.com.tw//article/13192,2016-09-27, 中醫養生 刮痧 穴道 中醫 穴道按摩 經絡 中藥,刮痧 穴道 中醫 穴道按摩 經絡 中藥,https://farm9.staticflickr.com/8308/29640472230_a174a5d4f0_b.jpg,5
活化細胞保青春，1重點打造強心臟血管不打結,https://www.everydayhealth.com.tw//article/19806,2018-08-19, 對抗老化 血管 血液循環 膽固醇 動脈硬化,血管 血液循環 膽固醇 動脈硬化,https://c2.staticflickr.com/2/1836/29149964787_1716ab6af8_b.jpg,20
吃飯5秘訣輕鬆抗老降血糖，飯後1小時是關鍵,https://www.everydayhealth.com.tw//article/5348,2018-08-18, 對抗老化 生活 健康飲食 飲食 老化 蛋白質 減重,生活 健康飲食 飲食 老化 蛋白質 減重,https://c2.staticflickr.com/2/1783/42257741140_1f53d54ccf_b.jpg,1
起床1杯水、飯後1杯咖啡，6種不便祕的居家療法,https://www.everydayhealth.com.tw//article/12720,2018-08-18, 養生保健 便祕 大腸癌 腸胃健康 腸道,便祕 大腸癌 腸胃健康 腸道,https://farm9.staticflickr.com/8604/28120924870_b49ab2baac_b.jpg,11
減緩經前症候群的飲食法,https://www.everydayhealth.com.tw//article/3730,2014-02-05, 健康飲食 月經 飲食 減重,月經 飲食 減重,https://c1.staticflickr.com/3/2903/14576828468_7f7623d64f_b.jpg,1
運動前喝咖啡瘦身？運動飲料當水喝？小心喝錯猝死,https://www.everydayhealth.com.tw//article/9363,2015-05-04, 健康飲食 咖啡 喝水 新陳代謝 規律運動 運動飲料,咖啡 喝水 新陳代謝 規律運動 運動飲料,https://farm8.staticflickr.com/7750/17337301876_a982079dbb_b.jpg,17
夏天也手腳冰冷？25個專家一致提出5招改善虛寒,https://www.everydayhealth.com.tw//article/12180,2016-05-31, 養生保健 交感神經 手腳冰冷 自律神經 虛寒 血液循環,交感神經 手腳冰冷 自律神經 虛寒 血液循環,https://farm8.staticflickr.com/7300/27245573182_bc912a5d5e_b.jpg,15
蹲下1動作防婦科病！活化腰腿骨盆，子宮卵巢都變年輕,https://www.everydayhealth.com.tw//article/19747,2018-08-16, 養生保健 促進血液循環 血液循環 子宮內膜異位 婦產子宮健康 子宮肌瘤 骨盆,促進血液循環 血液循環 子宮內膜異位 婦產子宮健康 子宮肌瘤 骨盆,https://c2.staticflickr.com/2/1817/30159539028_49676997fc_b.jpg,23
感冒飲食怎麼吃？醫生：別喝薑母茶、只吃七分飽,https://www.everydayhealth.com.tw//article/13726,2017-12-20, 西醫醫學 感冒 少吃 營養 胡蘿蔔 健康飲食 味噌湯,感冒 少吃 營養 胡蘿蔔 健康飲食 味噌湯,https://farm6.staticflickr.com/5527/30667679783_66e4dddd53_b.jpg,8
精神科醫：早餐3原則，起床後1小時一定要吃！,https://www.everydayhealth.com.tw//article/12963,2016-08-20, 健康飲食 均衡營養 均衡飲食 早餐 營養 飲食 飲食習慣,均衡營養 均衡飲食 早餐 營養 飲食 飲食習慣,https://farm9.staticflickr.com/8529/28438993103_9969e32378_b.jpg,27
3步驟抬腿運動，每天30秒血液循環好順暢,https://www.everydayhealth.com.tw//article/4517,2014-12-05, 養生保健 保暖 氣血 血液循環 減重 健走,保暖 氣血 血液循環 減重 健走,https://c2.staticflickr.com/2/1766/29488721308_fc4984dea5_b.jpg,14
肩膀痠痛禍首竟是血管！日名醫：按15秒改善,https://www.everydayhealth.com.tw//article/19786,2018-08-15, 肩頸痠痛 肩頸僵硬 肩膀酸痛 五十肩 血管,肩頸僵硬 肩膀酸痛 五十肩 血管,https://c1.staticflickr.com/1/933/29073066247_d34bb9142d_b.jpg,14
刮心經、養心4大穴，遠離所有心腦血管病,https://www.everydayhealth.com.tw//article/12836,2018-08-15, 穴道導引 中藥 中醫 健忘 心臟 穴道 穴道按摩,中藥 中醫 健忘 心臟 穴道 穴道按摩,https://farm9.staticflickr.com/8567/28160750673_ddc39a5eef_b.jpg,5
2週自癒！睡前做這件事，拯救自律神經失調,https://www.everydayhealth.com.tw//article/13489,2016-11-08, 養生保健 自律神經 失眠 疲勞 不孕 生活習慣 焦慮,自律神經 失眠 疲勞 不孕 生活習慣 焦慮,https://farm6.staticflickr.com/5346/30199175564_3cb73bb3fa_b.jpg,1
鍛鍊肌肉比強行矯正重要！改善駝背先練2動作,https://www.everydayhealth.com.tw//article/11190,2017-10-12, 腰痠背痛 肌力訓練 肩胛骨 脊椎 頸椎僵直 駝背,肌力訓練 肩胛骨 脊椎 頸椎僵直 駝背,https://c1.staticflickr.com/5/4507/37580333686_7ec78588e7_b.jpg,12
效果等同外出運動！在家就能做的6簡易回春操,https://www.everydayhealth.com.tw//article/9913,2015-07-21, 對抗老化 肌肉 運動 夏天 老人 腹肌 腰痛 抗老,肌肉 運動 夏天 老人 腹肌 腰痛 抗老,https://farm1.staticflickr.com/409/19850103116_59dc91752f_b.jpg,18
健康長壽的人都這樣生活！3件事增加長壽荷爾蒙,https://www.everydayhealth.com.tw//article/19904,2018-08-29, 健康飲食 長壽 長壽飲食 大豆 豆漿 豆類 豆腐,長壽 長壽飲食 大豆 豆漿 豆類 豆腐,https://c2.staticflickr.com/2/1872/44320067031_3d4104b5b8_b.jpg,0
